TAGNAME,TIME,SUNANGLE,VALUE,Latitude,Longitude,Temp 2m,Dewpoint 2m,Pressure,Precipitation,GHI,DHI,BNI,Location,Date,Time,Date.1,Timestamp,Year,hours
Main Optic,29-06-2023 04:00,6.361274911,0,60.741,-0.795,11.09473127,8.680820317,101621.2312,3.57458E-05,18.39616583,18.39616583,0,Balta_Sound,29-06-2023 00:00,04:00:15,29-06-2023,00:00:00,2023,4.004166667
Optic Main,29-06-2023 03:57,4.646797965,0,59.39,-2.382,11.07029918,9.818708677,101781.6089,3.79244E-05,18.86674792,18.86674792,0,North_Ronaldsay,29-06-2023 00:00,03:57:17,29-06-2023,00:00:00,2023,3.954722222
Light,29-06-2023 03:46,3.0935709,0,58.85,-3.014,11.19740996,9.953788752,101639.9642,5.09839E-05,18.01719583,18.01719583,0,Flotta_Grinds_Buoy,29-06-2023 00:00,03:46:45,29-06-2023,00:00:00,2023,3.779166667
Main optic,29-06-2023 03:01,0.842718238,0,59.998,-1.159,10.88716348,9.374294481,101576.1283,1.21001E-05,15.25986667,15.25986667,0,Mousa,29-06-2023 00:00,03:01:40,29-06-2023,00:00:00,2023,3.027777778
Light,29-06-2023 02:40,-1.907084652,0,59.122,-5.816,11.32863581,9.422359752,101915.9889,4.60042E-05,19.47845264,19.08648686,5.024708111,North_Rona,29-06-2023 00:00,02:40:43,29-06-2023,00:00:00,2023,2.678611111
Light,28-06-2023 22:16,-2.080747761,1,59.122,-5.816,11.71488486,10.22322762,101920.0736,3.57793E-05,0,0,0,North_Rona,28-06-2023 00:00,22:16:43,28-06-2023,00:00:00,2023,22.27861111
Light,28-06-2023 21:47,-1.389193776,1,58.85,-3.014,11.03005738,9.651041254,101646.7681,2.77057E-05,0,0,0,Flotta_Grinds_Buoy,28-06-2023 00:00,21:47:11,28-06-2023,00:00:00,2023,21.78638889
Main optic,28-06-2023 21:45,-0.994710864,1,59.998,-1.159,10.90184282,9.445200163,101585.283,3.45254E-05,0,0,0,Mousa,28-06-2023 00:00,21:45:39,28-06-2023,00:00:00,2023,21.76083333
Light,28-06-2023 21:29,0.115888887,1,59.086,-4.407,11.41351014,9.669721523,101875.7505,4.0574E-05,0.574698833,0.574698833,0,Sule_Skerry,28-06-2023 00:00,21:29:19,28-06-2023,00:00:00,2023,21.48861111
Main Optic,28-06-2023 21:23,0.688343316,1,60.741,-0.795,10.98598144,8.88299485,101547.8423,3.22743E-05,0.8272825,0.8272825,0,Balta_Sound,28-06-2023 00:00,21:23:09,28-06-2023,00:00:00,2023,21.38583333
